sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1658053802.15","| rest splunk_server=local services/server/info","chandana-VirtualBox","1658053802.218448",0,0,1658053802,1,0,completed,"0.325",,,,,,,,,,,
"1658053802.18","| rest splunk_server=local services/server/info","chandana-VirtualBox","1658053802.646850",0,0,1658053802,1,0,completed,"0.34700000000000003",,,,,,,,,,,
"1658053802.19","| rest splunk_server=local services/server/info","chandana-VirtualBox","1658053802.953080",0,0,1658053802,1,0,completed,"0.08600000000000001",,,,,,,,,,,
"1658053802.20","| rest services/server/info | sort splunk_server","chandana-VirtualBox","1658053802.968994",0,0,1658053803,1,0,completed,"0.281",,,,,,,,,,,
"1658053803.23","| rest services/server/info | sort splunk_server","chandana-VirtualBox","1658053803.202311",0,0,1658053803,1,0,completed,"0.093",,,,,,,,,,,
"1658053803.24","| rest services/server/info | sort splunk_server","chandana-VirtualBox","1658053803.377877",0,0,1658053803,1,0,completed,"0.085",,,,,,,,,,,
"1658053803.25","| rest splunk_server=local services/server/info","chandana-VirtualBox","1658053803.398507",0,0,1658053803,1,0,completed,"0.091",,,,,,,,,,,
"1658053803.26","| rest services/server/info | sort splunk_server","chandana-VirtualBox","1658053803.607496",0,0,1658053803,1,0,completed,"0.107",,,,,,,,,,,
"1658053803.27","| rest splunk_server=local services/server/info","chandana-VirtualBox","1658053803.962469",0,0,1658053803,1,0,completed,"0.097",,,,,,,,,,,
"1658053804.28","| rest services/server/info | sort splunk_server","chandana-VirtualBox","1658053804.199086",0,0,1658053804,1,0,completed,"0.083",,,,,,,,,,,
"1658053804.29","| rest splunk_server=local services/server/info","chandana-VirtualBox","1658053804.518709",0,0,1658053804,1,0,completed,"0.091",,,,,,,,,,,
"1658053804.30","| rest services/server/info | sort splunk_server","chandana-VirtualBox","1658053804.714159",0,0,1658053804,1,0,completed,"0.065",,,,,,,,,,,
"1658061002.21","| rest splunk_server=local services/server/info","chandana-VirtualBox","1658061002.973891",0,0,1658061003,1,0,completed,"0.641",,,,,,,,,,,
"1658061003.24","| rest splunk_server=local services/server/info","chandana-VirtualBox","1658061003.840976",0,0,1658061003,1,0,completed,"0.198",,,,,,,,,,,
"1658061004.25","| rest splunk_server=local services/server/info","chandana-VirtualBox","1658061004.085026",0,0,1658061004,1,0,completed,"0.244",,,,,,,,,,,
"1658061004.26","| rest splunk_server=local services/server/info","chandana-VirtualBox","1658061004.129373",0,0,1658061004,1,0,completed,"0.273",,,,,,,,,,,
"1658061004.27","| rest services/server/info | sort splunk_server","chandana-VirtualBox","1658061004.327160",0,0,1658061004,1,0,completed,"0.213",,,,,,,,,,,
"1658061004.28","| rest services/server/info | sort splunk_server","chandana-VirtualBox","1658061004.481047",0,0,1658061004,1,0,completed,"0.189",,,,,,,,,,,
"1658061004.29","| rest services/server/info | sort splunk_server","chandana-VirtualBox","1658061004.622585",0,0,1658061004,1,0,completed,"0.209",,,,,,,,,,,
"1658061004.30","| rest services/server/info | sort splunk_server","chandana-VirtualBox","1658061004.678523",0,0,1658061004,1,0,completed,"0.187",,,,,,,,,,,
"1658061004.31","| rest splunk_server=local services/server/info","chandana-VirtualBox","1658061004.950802",0,0,1658061004,1,0,completed,"0.135",,,,,,,,,,,
"1658061005.32","| rest services/server/info | sort splunk_server","chandana-VirtualBox","1658061005.222235",0,0,1658061005,1,0,completed,"0.077",,,,,,,,,,,
"1658064601.44","| rest splunk_server=local services/server/info","chandana-VirtualBox","1658064601.958219",0,,,,,,,,,,,,,,,,,
"1658064602.45","| rest splunk_server=local services/server/info","chandana-VirtualBox","1658064602.008974",0,,,,,,,,,,,,,,,,,
"1658064602.46","| rest services/server/info | sort splunk_server","chandana-VirtualBox","1658064602.051880",0,,,,,,,,,,,,,,,,,
"1658064602.47","| rest services/server/info | sort splunk_server","chandana-VirtualBox","1658064602.095101",0,,,,,,,,,,,,,,,,,
